title,authors,description,publisher
Astronomy,"Andrew Fraknoi,David Morrison,Sidney C. Wolff","Astronomy is written in clear non-technical language, with the occasional touch of humor and a wide range of clarifying illustrations. It has many analogies drawn from everyday life to help non-science majors appreciate, on their own terms, what our modern exploration of the universe is revealing. The book can be used for either aone-semester or two-semester introductory course (bear in mind, you can customize your version and include only those chapters or sections you will be teaching.) It is made available free of charge in electronic form (and low cost in printed form) to students around the world. If you have ever thrown up your hands in despair over the spiraling cost of astronomy textbooks, you owe your students a good look at this one. Coverage and Scope Astronomy was written, updated, and reviewed by a broad range of astronomers and astronomy educators in a strong community effort. It is designed to meet scope and sequence requirements of introductory astronomy courses nationwide. Chapter 1: Science and the Universe: A Brief Tour Chapter 2: Observing the Sky: The Birth of Astronomy Chapter 3: Orbits and Gravity Chapter 4: Earth, Moon, and Sky Chapter 5: Radiation and Spectra Chapter 6: Astronomical Instruments Chapter 7: Other Worlds: An Introduction to the Solar System Chapter 8: Earth as a Planet Chapter 9: Cratered Worlds Chapter 10: Earthlike Planets: Venus and Mars Chapter 11: The Giant Planets Chapter 12: Rings, Moons, and Pluto Chapter 13: Comets and Asteroids: Debris of the Solar System Chapter 14: Cosmic Samples and the Origin of the Solar System Chapter 15: The Sun: A Garden-Variety Star Chapter 16: The Sun: A Nuclear Powerhouse Chapter 17: Analyzing Starlight Chapter 18: The Stars: A Celestial Census Chapter 19: Celestial Distances Chapter 20: Between the Stars: Gas and Dust in Space Chapter 21: The Birth of Stars and the Discovery of Planets outside the Solar System Chapter 22: Stars from Adolescence to Old Age Chapter 23: The Death of Stars Chapter 24: Black Holes and Curved Spacetime Chapter 25: The Milky Way Galaxy Chapter 26: Galaxies Chapter 27: Active Galaxies, Quasars, and Supermassive Black Holes Chapter 28: The Evolution and Distribution of Galaxies Chapter 29: The Big Bang Chapter 30: Life in the Universe Appendix A: How to Study for Your Introductory Astronomy Course Appendix B: Astronomy Websites, Pictures, and Apps Appendix C: Scientific Notation Appendix D: Units Used in Science Appendix E: Some Useful Constants for Astronomy Appendix F: Physical and Orbital Data for the Planets Appendix G: Selected Moons of the Planets Appendix H: Upcoming Total Eclipses Appendix I: The Nearest Stars, Brown Dwarfs, and White Dwarfs Appendix J: The Brightest Twenty Stars Appendix K: The Chemical Elements Appendix L: The Constellations Appendix M: Star Charts and Sky Event Resources",NA
"Planetary Astronomy from the Renaissance to the Rise of Astrophysics, Part A, Tycho Brahe to Newton","R. Taton,C. Wilson","The International Astronomical Union and the International Union for the History and Philosophy of Science have sponsored a major work on the history of astronomy, which the Press publishs are in four volumes, three of which will be divided into two parts. Publication commenced with volume 4, part A. The history of astronomy has never been tackled on this scale and depth and this major synthesis breaks wholly new ground. The individual chapters of each volume have been prepared by leading experts in every field of the history of astronomy.",Cambridge University Press
The General History of Astronomy,NA,NA,Cambridge University Press
Popular Astronomy,NA,NA,NA
The Astronomy Book,DK,"An essential guide to milestone developments in astronomy, telling the story of our ideas about space, time, and the physics of the cosmos-from ancient times to the present day. From planets and stars to black holes and the Big Bang, take a journey through the wonders of the universe. Featuring topics from the Copernican Revolution to the mind-boggling theories of recent science, The Astronomy Book uses flowcharts, graphics, and illustrations to help clarify hard-to-grasp concepts and explain almost 100 big astronomical ideas. Covering the biographies of key astronomers through the ages such as Ptolemy, Galileo, Newton, Hubble, and Hawking, The Astronomy Book details their theories and discoveries in a user-friendly format to make the information accessible and easy to follow.",Penguin
Astronomy,Fred Hoyle,NA,NA
The Physical Universe,Frank Shu,"""This is a truly astonishing book, invaluable for anyone with an interest in astronomy."" Physics Bulletin ""Just the thing for a first year university science course."" Nature ""This is a beautiful book in both concept and execution."" Sky & Telescope",University Science Books
Supernovae,Stanford E. Woosley,"Supernova explosions are not only important to the ecology of the universe, seeding it, among other things, with the heavy elements necessary for the existence of life, but they are also a natural laboratory in which a host of unique physical phenomena occur. While still far from a complete understanding, scientists have made great advances during the last twenty-five years in understanding the nature and conse- quences of supernovae. This book presents the state of supernova studies at the beginning of the 1990's, as reported at a two-week meeting on the Santa Cruz campus of the University of California in July 1989 in- volving 177 astronomers and astrophysicists from 17 nations. The 110 papers contained in this volume report all aspects of the field - observations at all wavelengths from radio through gamma-rays, bolometric light curves and spectra, neutrino observations, the theory of stellar explosions, multidimensional models for mixing, nucleosynthesis calculations, synthetic spectral modeling, presupernova evolution, supernova remnants, supernova rates, supernovae as standard candles, the interaction of supernovae with their surroundings - and constitute the most comprehensive and up-to-date treatment of SN 1987A currently available. Astronomers and astronomy graduate students will find this an in valuable summary of the current state of supernova research. The informed layperson or undergraduate astronomy student will also find it a useful introduction and guide to the literature in the subject.",Springer Science & Business Media
The Everything Kids' Astronomy Book,"Kathi Wagner,Sheryl Racine","Explore the galaxies! Aliens, space ships, and constellations, oh my! Ride on a rocket ship to another galaxy with this stellar book. With The Everything Kids' Astronomy Book, astronomers-in-training will learn: How galaxies like the Milky Way were built. Why the sun's surface is 20,000-50,000-degrees Fahrenheit. Why the earth spins and how gravity works. What comets and asteroids are made of and how they affect planets. The truth about the man in the moon. Why Mars is so hot and what those rings around Saturn are. What scientists think about aliens and life in outer space If you want to build a sky-watching kit or change your room into a small universe, this book will take you on a journey that is out-of-this-world!",Simon and Schuster
Popular Astronomy,NA,NA,NA
