title,authors,description,publisher
Astrophysics,K.D. Abhyankar,"This Book Introduces The Subject Of Astrophysics To Honours And Post-Graduate Students Of Physics, Without The Necessity Of Their Being Familiar With All The Practical Details Of Modern Astronomical Techniques Of Observation And Deduction Of Data. The Emphasis Is On Showing How An Application Of The Commonly Known Laws Of Physics Gives Us Important Information About The Properties Of Celestial Objects And Phenomena.",Universities Press
Astrophysics,Wolfgang Kundt,"Devised for a quantitative understanding of the physics of the universe from the solar system through the milky way to clusters of galaxies all the way to cosmology, this acclaimed text offers among the most concise and most critical ones of extant works. Special chapters are devoted to magnetic and radiation processes, disks, black-hole candidacy, bipolar flows, cosmic rays, gamma-ray bursts, image distortions, and special sources. At the same time, planet earth is viewed as the arena for life, with plants and animals having evolved to homo sapiens during cosmic time. This text is unique in covering the basic qualitative and quantitative tools, formulae as well as numbers, needed to for the precise interpretation of frontline phenomena.",Springer Science & Business Media
Astrophysics,K. S. Krishnaswamy,"Discoveries In Astronomy And Astrophysics Have Brought Out Several Outstanding Problems And Puzzles. For Resolving These New Inputs From Physics May Be Required. There Exist Several Centers With Excellent Instruments And Many New Instruments Will Be Developed In The Next Few Years. Similarly Several Satellites Are In Orbit And More Are Being Planned For Future Astronomical Studies. Clearly Astronomy And Astrophysics Will Provide Great Opportunities For An Inquisitive Mind To Do First Rate Research Work.There Is A Good Scope For Carrying Out Path Breaking Work In Astronomy, Astrophysics And Space Sciences. To Attract Students And Researchers To This Exciting Frontier, It Is Necessary To Provide Them A Strong Academic Foundation. Astrophysics: A Modern Perspective Is An Attempt In This Direction. This Book Has Evolved Out Of A Series Of Lectures Delivered At Two Winter Schools In Astronomy And Astrophysics Organized By The Tata Institute Of Fundamental Research (Tifr), Bombay. Special Effort Has Been Made To Highlight Some Of The Challenging And Unsolved Problems From The Observational And Theoretical Points Of View.All The Contributors To This Volume Are Well Known Scientists Of Tifr And Have Made Significant And Lasting Contributions In Their Respective Fields. Each Chapter Develops The Subject From Basic Considerations Of Physics And Goes On To The Present Day Understanding. Some Of The Important Problems Facing Astronomers And Astrophysicists Today Are Highlighted Throughout The Book. The Close Interaction Between Astronomers, Astrophysicists And Physicists Has Also Been Brought Out. It Is Hoped That This Approach Will Attract More Students And Research Workers To The Fascinating Area Of Astronomy And Astrophysics.",Taylor & Francis
"Theoretical Astrophysics: Volume 3, Galaxies and Cosmology",T. Padmanabhan,"This timely volume provides comprehensive coverage of all aspects of cosmology and extragalactic astronomy at an advanced level. Beginning with an overview of the key observational results and necessary terminology, it covers important topics: the theory of galactic structure and galactic dynamics, structure formation, cosmic microwave background radiation, formation of luminous galaxies in the universe, intergalactic medium and active galactic nuclei. This self-contained text has a modular structure, and contains over one hundred worked exercises. It can be used alone, or in conjunction with the previous two accompanying volumes (Volume I: Astrophysical Processes, and Volume II: Stars and Stellar Systems).",Cambridge University Press
AN INTRODUCTION TO ASTROPHYSICS,"BAIDYANATH BASU,TANUKA CHATTOPADHYAY,SUDHINDRA NATH BISWAS","This invaluable book, now in its second edition, covers a wide range of topics appropriate for both undergraduate and postgraduate courses in astrophysics. The book conveys a deep and coherent understanding of the stellar phenomena, and basic astrophysics of stars, galaxies, clusters of galaxies and other heavenly bodies of interest. Since the first appearance of the book in 1997, significant progress has been made in different branches of Astronomy and Astrophysics. The second edition takes into account the developments of the subject which have taken place in the last decade. It discusses the latest introduction of L and T dwarfs in the Hertzsprung-Russel diagram (or H-R diagram). Other developments discussed pertain to standard solar model, solar neutrino puzzle, cosmic microwave background radiation, Drake equation, dwarf galaxies, ultra compact dwarf galaxies, compact groups and cluster of galaxies. Problems at the end of each chapter motivate the students to go deeper into the topics. Suggested readings at the end of each chapter have been complemented.",PHI Learning Pvt. Ltd.
Knowledge in a Nutshell: Astrophysics,Sten Odenwald,"Whether searching for extra-terrestrial life, managing the effects of space weather or learning about dark matter, the study astrophysics has profound implications for us all. NASA scientist and astronomer Sten Odenwald explains the key concepts of this vast topic, bringing clarity to some of the great mysteries of space. These include: • The theory of relativity • Cosmic background radiation • The evolution of stars • The formation of the solar system • The nature of exoplanets • Space weather systems Filled with helpful diagrams and simple summaries, Knowledge in a Nutshell: Astrophysics is perfect for the non-expert, taking the complexities of space science and making them tangible. ABOUT THE SERIES The 'Knowledge in a Nutshell' series by Arcturus Publishing provides engaging introductions to many fields of knowledge, including philosophy, psychology and physics, and the ways in which human kind has sought to make sense of our world.",Arcturus Publishing
Astrophysics: A Very Short Introduction,James Binney,"Astrophysics is the physics of the stars, and more widely the physics of the Universe. It enables us to understand the structure and evolution of planetary systems, stars, galaxies, interstellar gas, and the cosmos as a whole. In this Very Short Introduction, the leading astrophysicist James Binney shows how the field of astrophysics has expanded rapidly in the past century, with vast quantities of data gathered by telescopes exploiting all parts of the electromagnetic spectrum, combined with the rapid advance of computing power, which has allowed increasingly effective mathematical modelling. He illustrates how the application of fundamental principles of physics - the consideration of energy and mass, and momentum - and the two pillars of relativity and quantum mechanics, has provided insights into phenomena ranging from rapidly spinning millisecond pulsars to the collision of giant spiral galaxies. This is a clear, rigorous introduction to astrophysics for those keen to cut their teeth on a conceptual treatment involving some mathematics. ABOUT THE SERIES: The Very Short Introductions series from Oxford University Press contains hundreds of titles in almost every subject area. These pocket-sized books are the perfect way to get ahead in a new subject quickly. Our expert authors combine facts, analysis, perspective, new ideas, and enthusiasm to make interesting and challenging topics highly readable",Oxford University Press
Accretion Power in Astrophysics,"Juhan Frank,Andrew King,Derek Raine",An updated version of the popular graduate text on accretion in astrophysics.,Cambridge University Press
"Planetary Astronomy from the Renaissance to the Rise of Astrophysics, Part A, Tycho Brahe to Newton","R. Taton,C. Wilson","The International Astronomical Union and the International Union for the History and Philosophy of Science have sponsored a major work on the history of astronomy, which the Press publishs are in four volumes, three of which will be divided into two parts. Publication commenced with volume 4, part A. The history of astronomy has never been tackled on this scale and depth and this major synthesis breaks wholly new ground. The individual chapters of each volume have been prepared by leading experts in every field of the history of astronomy.",Cambridge University Press
Astronomy and Astrophysics,"A. B. Bhattacharya,S. Joardar,R. Bhattacharya","This book is designed for upper division courses in astronomy and as a reference for science professionals. The subject areas of astronomy and astrophysics have grown tremendously during the last few decades. New developments in radio astronomy and recent data retrieved from NASA's Hubble Space Telescope have resulted in many discoveries and created new interest in the study of the universe. Using four-color throughout, Astronomy & Astrophysics describes the different techniques and instruments employed in the study of the universe and the results obtained with discussion on both theory and observation. The book covers topics such as, ""minor"" planets, radio astronomy, astronomical telescopes, measurement of solar brightness distribution, black holes, and the Einstein effect. A CD-ROM with color figures and simulations accompanies the book.",Jones & Bartlett Learning
