title,authors,description,publisher
Science Fiction Cinema,"Geoff King,Tanya Krzywinska","This book charts the dimensions of one of the most popular genres in the cinema. From lurid comic-book blockbusters to dark dystopian visions, science fiction is seen as both a powerful cultural barometer of our times and the product of particular industrial and commercial frameworks. The authors outline the major themes of the genre, from representations of the mad scientist and computer hacker to the relationship between science fiction and postmodernism, exploring issues such as the meaning of special effects and the influence of science fiction cinema on the entertainment media of the digital age. Over one hundred films are discussed and the book concludes with an extensive case study of Star Wars I: The Phantom Menace.",Wallflower Press
Sasquatches from Outer Space,Tim Yule,"Amazing things seem to be happening all the time. Supermarket tabloids say aliens are kidnaping people. TV programs report that apelike creatures prowl the Himalayas leaving giant footprints behind, planes and ships mysteriously vanish in the Bermuda Triangle, and flattened circles in open fields prove that UFOs have landed.It may be fun to watch or read about these weird stories and extraordinary claims, but whether you really believe them or not can make a big difference in your life. For one thing you can spend a lot of money on books, videos, movies, and services like psychic hotlines marketed by people who are interested only in taking your money. But more important than money is how you view reality and judge the difference between fact and fiction. How can you figure out who's telling the truth and who isn't?It's not that hard, says educator Tim Yule, once you've learned a few basic critical-thinking skills. He explores many of the strange and funny mysteries that capture so much media attention and teaches you, through hands-on experiments, how to get to the bottom of these tall tales. You'll have fun while learning how scientists establish reliable knowledge.If you want to know the truth about astrology, UFOs, Big Foot, and the Loch Ness Monster, the Bermuda Triangle, crop circles, vampires, ESP, predicting the future, and more, this book is better than any ouija board or fortuneteller.Tim Yule (Prince George, British Columbia, Canada) has been teaching elementary school for eleven years and has worked with children for over twenty years.",Prometheus Books
My First Book About Outer Space,"Patricia J. Wynne,Donald M. Silver","Where do we live among the galaxies, what did people think before they could study the sky with telescopes, and what happened to Pluto? Thirty-nine illustrations to color answer these and other questions about our Solar System and beyond. Entertaining, easy-to-understand captions explain crater formation, constellations, weightlessness, space junk, and other fascinating subjects. Suitable for ages 8–12.",Courier Dover Publications
Outer Space,"Glenn Reynolds,Robert Merges","This second edition takes account of the important changes that have swept the field since the end of the Cold War, including the rapid growth and change in commercial space-launch services, increasingly important issues of international trade in space-related goods and services, the expansion of space-based communications services, and the move to rethink—and perhaps rewrite—the Moon Treaty. Charting the legal and political outlines of the last frontier, the volume offers extensive excerpts from major works in the field of space law to provide a sense of the many different interests and schools of thought that are shaping space policy.",Westview Press
An Earthling's Guide to Outer Space,Bob McDonald,"Beloved science commentator Bob McDonald takes us on a tour of our galaxy, unraveling the mysteries of the universe and helping us navigate our place among the stars. How big is our galaxy? Is there life on those distant planets? Are we really made of star dust? And where do stars even come from? In An Earthling’s Guide to Outer Space, we finally have the answers to all those questions and more. With clarity, wisdom, and a great deal of enthusiasm, McDonald explores the curiosities of the big blue planet we call home as well as our galactic neighbours—from Martian caves to storm clouds on Jupiter to the nebulae at the far end of the universe. So if you’re pondering how to become an astronaut, or what dark matter really is, or how an asteroid wiped out the dinosaurs, look no further. Through a captivating mix of stories, experiments, and illustrations, McDonald walks us through space exploration past and present, and reveals what we can look forward to in the future. An Earthling’s Guide to Outer Space is sure to satisfy science readers of all ages, and to remind us earthbound terrestrials just how special our place in the universe truly is.",Simon and Schuster
Meta-Geopolitics of Outer Space,N. Al-Rodhan,"Al-Rodhan sheds new light on the debate about the geopolitics of outer space, going beyond applying traditional International Relations approaches to space power and security by introducing a multidimensional spatial framework. The meta-geopolitics framework includes space and expands classical power considerations to cover seven state capacities.",Springer
International Law and Outer Space Activities,Ogunsola O. Ogunbanwo,"Space exploration is a development which began with the launching of the first artificial satellite in 1957. Since then an incredible progress has been made, leading to the landing of man on the moon. A quick look at the number of launchings which have been registered with the United Nations will show the influence of space science and technology on human endeavours. For example, satellites can be used for com munication, weather forecasting, education, and remote sensing of the resources of the Earth. The United Nations Committee on the Peaceful Uses of Outer Space is the focal point of international co-operation in space activities. The Committee regulates these activities through its Legal Sub-Committee. The setting up of the Committee was preceded by an Ad Hoc Committee which was established on 31 December 1958. The initial difficulty which confronted the Ad Hoc Committee was the issue of its member ship. The USSR, Czechoslovakia and Poland decided not to participate in its work because they were dissatisfied with the composition of the Ad Hoc Committee. Later, both the UAR and India also decided not to participate in its work. Although the Ad Hoc Committee succeeded in producing a report in 1959 (UN document A/4141), the progress of work of the Main Committee was in limbo for a while. It was not until 1961 that the disagreements were resolved. The Committee conducts its business without voting -the Chairman simply states the consensus of views which have been expressed.",BRILL
The Everything Kids' Astronomy Book,"Kathi Wagner,Sheryl Racine","Explore the galaxies! Aliens, space ships, and constellations, oh my! Ride on a rocket ship to another galaxy with this stellar book. With The Everything Kids' Astronomy Book, astronomers-in-training will learn: How galaxies like the Milky Way were built. Why the sun's surface is 20,000-50,000-degrees Fahrenheit. Why the earth spins and how gravity works. What comets and asteroids are made of and how they affect planets. The truth about the man in the moon. Why Mars is so hot and what those rings around Saturn are. What scientists think about aliens and life in outer space If you want to build a sky-watching kit or change your room into a small universe, this book will take you on a journey that is out-of-this-world!",Simon and Schuster
The Penguin Book of Outer Space Exploration,John Logsdon,"The fascinating story of how NASA sent humans to explore outer space, told through a treasure trove of historical documents--publishing in celebration of NASA's 60th anniversary and with a foreword by Bill Nye Among all the technological accomplishments of the last century, none has captured our imagination more deeply than the movement of humans into outer space. From Sputnik to SpaceX, the story of that journey is told as never before in The Penguin Book of Outer Space Exploration. Renowned space historian John Logsdon traces the greatest moments in human spaceflight by weaving together essential, fascinating documents from NASA's history with his expert narrative guidance. Beginning with rocket genius Wernher von Braun's vision for voyaging to Mars, and closing with Elon Musk's contemporary plan to get there, this volume traces major events like the founding of NASA, the first American astronauts in space, the moon landings, the Challenger disaster, the daring Hubble Telescope repairs, and more. In these pages, we find such gems as Eisenhower's reactions to Sputnik, the original NASA astronaut application, John Glenn's reflections on zero gravity, Kennedy's directives to go to the moon, discussions on what Neil Armstrong's first famous first words should be, customs forms filled out by astronauts bringing back moon rocks, transcribed conversations with Nixon on ending Project Apollo and beginning the space shuttle program, and so much more.",Penguin
Commercial Utilization of Outer Space,Hanneke Louise Van Traa-Engelman,"This book assesses the present status of space activity regulation against the background of the progressive commercialization of outer space. The basic legal framework for outer space activity was established during a time when space endeavour was still in its infancy and a critical reassessment of its principles therefore forms the basis of this publication. The outcome of this analysis and the legal implications which result from applying it to practical space utilization yield an insight into the legal questions pertaining to space commercialization and its practical implementation. ""Commercial Utilization of Outer Space"" will be of great interest to academics and practitioners in the field of space activities, as well as to government policy makers in different sectors of space commercialization ranging from space transportation, satellite communication and remote sensing to space insurance and manufacturing in outer space. Wherever appropriate and feasible practical aspects have been dealt with against the background of present-day realities and developments foreseen for the future.",Martinus Nijhoff Publishers
